,dish name,veg_ind,nonveg_ind
,Chicken Tikka Kali Mirch,0,1
,Crispy chicken with basil and bird chili,0,1
,Achari Paneer Tikka,1,0
,Smokey Barbeque Chicken Wings,0,1
,Classic Garden Burger,1,0
,Cottage Cheese Popper with chili and coriander,1,0
,Dahi Kebab,1,0
,Molten Chocolate Cake,1,0
,Virgin Mojito,1,0
,Shaam Savera,1,0
,Dal Mizaz,1,0
,"Basil,Paneer Tikka, Capsicum, Pineapple Pizza",1,0
,Lalla Mussa Dal,1,0
,Daab Chingari,0,1
,Chicken Kasha,0,1
,Mutton Kasha,0,1
,Fish Fry,0,1
,Special Bengali Thali,0,1
,Fish Kalia,0,1
,Bhetki Paturi,0,1
,Luchi,1,0
,Mutton Biriyani,0,1
,Aloo Dum,1,0
,Chicken Cutlet,0,1
,Aloo Posto,1,0
,Sweet Curd,1,0
,Prawn Malai Curry,0,1
,Chital Muitha,0,1
,Julliene,1,0
,Chicken Biriyani,0,1
,Steamed Rice,1,0
,Paratha,1,0
,Fish Thali,0,1
,Masala Dosa,1,0
,Makhani Paneer Masala Dosa,1,0
,Thali,1,0
,Butter Masala Dosa,1,0
,Dahi Vada,1,0
,Plain Uttapam,1,0
,Dal Makhani,1,0
,South Indian Filter Coffee,1,0
,Rava Masala Dosa,1,0
,Murg Mumtaz,0,1
,Dal Makhni,1,0
,Chicken Tikka Masala,0,1
,Chicken Butter,0,1
,Dal Makhani,1,0
,Tomato Paneer(Makhni),1,0
,Butter Naan,1,0
,Saag Mutton,0,1
,Roti,1,0
,Chicken Saag,0,1
,Rogan Josh(Dahi Mutton),0,1
,Rogan Josh(Dahi Mutton),0,1
,Dal Makhani,1,0
,Palak Paneer,1,0
,Shahi Paneer,1,0
,Chicken Curry ,0,1
,Keema Kaleji,0,1
,Malai Kofta,1,0
,Chicken Caesar,0,1
,Ham Toastie,0,1
,Falafel ,1,0
,Chipotle Potato,1,0
,Iced green Tea,1,0
,Chicken Seekh Kebab Pita,0,1
,Khasta kebab,1,0
,Pita and Baba ganoush,1,1
,Pita Sandwich,1,1
,Chicken Tikka ,0,1
,Smoken Chicken Breast,0,1
,chicken tikka pizza,0,1
,murgh mallai tikka ,0,1
,tangra chilli chicken,0,1
,chicken tikka ,0,1
,grilled chicken fajita wrap,0,1
,mutton seekh kebab,0,1
,ajwaini paneer tikka,1,0
,vegetarian caesar salad,1,0
,dal fusion,1,0
,pacific veg thin crust pizza,1,0
,cheesy garlic bread,1,0
,bruschetta,1,0
